1	Okay Bear #2345	17	https://bafybeifomfjtv4nkiddyv5lzl4l6nxjsmxkezhfkr2hlh5xamwnuyxozee.ipfs.dweb.link/5269.png?ext=png	Legendary	1	563	2022-06-07 11:35:46.514851	2022-06-07 11:35:46.514851	2022-04-12	0x0Fd433e474ECB81005ac906e0BCFab66E1d49371
2	DeGod #88	28	https://metadata.degods.com/g/2209.png	Mythic	2	565	2022-06-07 11:35:46.523602	2022-06-07 11:35:46.523602	2022-03-15	xsfsndjfgagdfcdfdgfdgk87hecs4
3	STEPN #3332	1	https://img-cdn.magiceden.dev/rs:fill:640:640:0:0/plain/https://arweave.net/BToZC2BgKOGNiZd1t15j9ZaHNMku8PYtw-3Y0I71UjI	Common	1	567	2022-06-07 11:35:46.529009	2022-06-07 11:35:46.529009	2021-12-10	0x0Fd433e474ECB81005ac906e0BCFab66E1d95678
4	Cardboard Citizen #4	2	https://img-cdn.magiceden.dev/rs:fill:400:400:0:0/plain/https://bafybeidvsm7s3gccpnjsq6vmxzfegrxf67dk34ezgq45nc5wjej32v7wky.ipfs.dweb.link/2085.png	Epic	2	568	2022-06-07 11:35:46.533148	2022-06-07 11:35:46.533148	2022-04-01	0x0Fd433e474ECB81005ac906e0BCFab66E1d12356
5	Creamy Friend #398	4	https://img-cdn.magiceden.dev/rs:fill:400:400:0:0/plain/https://www.arweave.net/mDnGUZP_R3g0Uo15lCrdhujqC6ItmltAkrWgMog8yrE?ext=png	Epic	1	569	2022-06-07 11:35:46.537206	2022-06-07 11:35:46.537206	2022-04-08	0x0Fd433e474ECB81005ac906e0BCFab66E1d34589
6	LavaRunner #222	44	https://img-cdn.magiceden.dev/rs:fill:400:400:0:0/plain/https://arweave.net/bsjdWnlDtFxoSeRVZ2OC2Msjkn5l1LDA1G26lRKiXig	Common	1	570	2022-06-07 11:35:46.541856	2022-06-07 11:35:46.541856	2022-02-14	0x0Fd433e474ECB81005ac906e0BCFab66E1d49345
7	Blocksmith #900	13	https://img-cdn.magiceden.dev/rs:fill:400:400:0:0/plain/https://bafybeibyio7mu3hrughzxdryz45prwhgt5s5l64qp5f6n67664quuo226m.ipfs.dweb.link/2400.png?ext=png	Rare	3	574	2022-06-07 11:35:46.548349	2022-06-07 11:35:46.548349	2022-05-12	0x0Fd433e474ECB81005ac906e0BCFab66E1d59071
8	Mous #3245	6	https://img-cdn.magiceden.dev/rs:fill:400:400:0:0/plain/https://arweave.net/G3dTlVEeUJHJ3ToTwzOqkA3EgAG3p5z3pFrfnkNGV7A?ext=png	Legendary	3	573	2022-06-07 11:35:46.552413	2022-06-07 11:35:46.552413	2022-05-24	0x0Fd433e474ECB81005ac906e0BCFab66E1d23308
9	Moonly #455	3	https://img-cdn.magiceden.dev/rs:fill:400:400:0:0/plain/https://bafybeigvliimk4m4yciqwebsrwbfmr4lsnlme7iphfbxezwstr67lzimpi.ipfs.dweb.link/3466.png?ext=png	Mythic	3	572	2022-06-07 11:35:46.556701	2022-06-07 11:35:46.556701	2022-01-09	0x0Fd433e474ECB81005ac906e0BCFab66E1d35678
10	Tripin Ape #2355	4	https://img-cdn.magiceden.dev/rs:fill:400:400:0:0/plain/https://bafybeiblifubtp4rzgkxs4uklisn3en6yulhmrnm4zj7rmvtnql2nibfle.ipfs.dweb.link/1363.png?ext=png	Uncommon	4	575	2022-06-07 11:35:46.561447	2022-06-07 11:35:46.561447	2022-01-16	0x0Fd433e474ECB81005ac906e0BCFab66E1d77890
